PROSPECTID,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,PL_Flag,pct_PL_enq_L6m_of_ever,HL_Flag,GL_Flag,last_prod_enq2,Credit_Score
15905,Married,GRADUATE,39,M,18500,162,0.5,0,0.0,0,0,CC,676
8479,Married,GRADUATE,35,F,13000,66,0.0,0,0.0,0,0,others,684
29829,Single,OTHERS,22,M,15000,125,1.0,0,0.0,0,0,others,690
43298,Married,POST-GRADUATE,55,M,23500,246,0.714,0,0.0,1,0,others,736
14722,Married,12TH,27,M,17000,60,0.5,0,1.0,0,0,CC,648
7166,Married,SSC,34,F,25000,76,0.167,0,0.0,0,0,ConsumerLoan,688
42471,Married,SSC,36,M,20000,48,0.0,0,0.0,0,0,others,654
40283,Single,SSC,27,M,22000,54,0.462,0,1.0,0,0,PL,662
5490,Married,GRADUATE,40,M,19378,134,0.333,1,0.0,0,1,HL,670
34451,Married,UNDER GRADUATE,57,M,49000,131,0.0,0,0.0,1,0,ConsumerLoan,677
40265,Single,OTHERS,29,M,17000,120,0.25,0,0.0,1,0,PL,672
35539,Single,GRADUATE,24,M,48000,53,1.0,0,0.0,0,0,others,680
2504,Single,GRADUATE,21,M,13000,22,1.0,0,0.0,0,0,ConsumerLoan,679
7387,Married,OTHERS,49,M,19500,121,1.0,0,0.75,0,0,PL,667
11612,Single,GRADUATE,32,M,32790,42,0.4,0,1.0,1,0,ConsumerLoan,688
34288,Single,GRADUATE,24,M,15000,53,0.0,0,1.0,0,0,PL,666
29914,Single,GRADUATE,29,M,15000,66,1.0,0,0.0,0,0,others,673
42332,Married,12TH,29,M,17000,126,0.294,0,0.0,1,0,ConsumerLoan,705
972,Married,12TH,36,M,30000,141,0.5,0,0.0,0,0,others,715
30340,Married,SSC,28,M,18000,113,0.429,1,0.0,0,0,others,683
44421,Married,12TH,25,M,49000,130,0.667,0,0.0,1,0,ConsumerLoan,662
34904,Married,SSC,39,M,22000,105,0.4,0,0.0,1,0,others,691
48707,Married,OTHERS,32,M,15000,65,0.667,0,1.0,0,0,PL,656
41054,Married,POST-GRADUATE,30,M,15000,106,0.455,0,1.0,1,0,ConsumerLoan,683
31174,Married,SSC,48,M,20000,102,0.0,0,0.0,0,0,others,681
